Date,Comment,Food,Service,Ambience,Overall
12/22/2024,"Loved it really good food and beautiful place, would come again!",4,3,4,4
12/22/2024,Nice variety of dishes - Cake slices too small - service attentive but not overbearing,4,4,4,4
12/22/2024,Sunday brunch. Great fun as usual. Thanks again,5,5,5,5
12/21/2024,"A few things to unpack here. The place itself is nice, but my wife , daughter and I had a very negative experience. We arrived at 520 pm , made resos and all. Got seated fast , place was maybe half full so great. We order , awesome! Fast forward to 630pm… “there was an issue with one of your orders … sorry!” Ok I get issues happen . We had 7pm tickets to the ballet at the Bluma Appel theatre up the street. So rushing a heavy meal was out only choice . The manager came over “ it will be 3 more mins” but it was 6 , I don’t want to sound like that guy, but if you can’t be accurate with your time and it’s already 1 hour we have been waiting , please just give a straight answer . He conmped a portion of the meal, ok that’s alright … But , the real kicker , my 11 year old ordered pasta with a protein . The meal was scorching hot , but she didn’t say anything at first, I looked over and asksed her what the issue was and she said it’s “kinda really hot “ so I dig in and holy heck man. Clearly this meal needed like 10-15 mins to cool , must have been under the heat lamp or something for a lengthy time. When we left she was in tears , I went back in to speak to the host and all she said “I’m sorry”. Ok thanks for the apology , but Im not ok with this . I’m not ok with this at all , I’m at a loss, our night was messed up , didn’t eat much at all since we had no time. Daughter in tears , it was irresponsible to serve a meal that hot to anyone let alone an 11 year old. I emailed the restaurant after. I’m not sure what to do I’m just very upset that my family’s night on the town was ruined , weather intentional , mistake or whatever , it happened. Management has my email , I hope they can correct this . I feel ripped off that I paid anything tbh and I’m not that guy I’m really not a complainer ever. This is my first review in fact , I hate that it’s just so bad. I don’t know if this is a bad place or a good place , I just know me and the wife and kid had a horrible time.",1,2,2,1
12/21/2024,"We eat often at Hot House and, as usual, we found the food to be very good, as well as the service. We have no complaints!",4,4,4,4
12/21/2024,We rarely go out to eat these days due to the cost. Unfortunately I was not thrilled with the food at Hothouse. We have been to this restaurant in the past prior to covid and the quality seemed much better. I guess this is the sign of the times,2,4,2,3
12/20/2024,The price to portion ratio was a little high. That said the food was nicely presented and delicious. The service was friendly and quick. When we're in the neighborhood again Hot House wiil be on our list to revisit. Especially if we're around for brunch. Thank you to all the staff for an enjoyable visit.,5,5,4,4
12/15/2024,"There is a great food variety that everyone with find something good to eat. They serve comfort food with a good variety of pastas, some curries, salads and other meat dishes. All the food that we ate that evening was great tasting and reasonably priced. They have a good drink menu with many beers on tap and bottled, ciders and a good selection of wine. The service was good and the food was delivered hot. It is a very large restaurant with ample seating and you do not feel like the tables are too close to each other. If you are in the area the Hothouse is worth visiting.",5,5,4,5
12/15/2024,Booked last minute this morning it was crazy busy but the food was great! It was a Sunday brunch buffet and there was so much food! Breakfast and lunch/dinner foods for all tastes. Our party included a 4 year old and even she enjoyed a lot of the food Will definitely go back!,5,5,5,5
12/14/2024,Tasty brunch options and good selection of drinks.,5,5,4,5
